id,country,code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
204,Benin,BEN,4.86,6.25,4.42,3.88,3.12,2.87,3.75,4.63,5.02,2.67,2.55,3.53,5.4,5.6
208,Denmark,DNK,3.53,0.7,0.47,0.38,2.3,2.45,3.39,1.58,-0.78,-5.67,1.39,1.07,-0.36,0.4
212,Dominica,DMA,-5.61,-0.07,-2.13,7.39,3.03,-0.82,9.51,5.89,7.87,-1.19,1.2,0.25,-1.18,-0.77
214,Dominican Republic,DOM,5.66,1.81,5.79,-0.25,1.31,9.26,10.67,8.47,5.26,3.45,7.75,4.48,3.89,4.06
218,Ecuador,ECU,1.09,4.02,4.1,2.72,8.21,5.29,4.4,2.19,6.36,0.57,2.95,7.83,5.12,4
222,El Salvador,SLV,2.15,1.71,2.34,2.3,1.85,3.56,3.91,3.84,1.27,-3.13,1.36,2.22,1.88,1.68
226,Equatorial Guinea,GNQ,18.21,63.38,19.46,13.96,38,9.75,1.26,13.14,12.27,-8.06,-1.3,5,3.22,-4.89
231,Ethiopia,ETH,6.07,8.3,1.51,-2.16,13.57,11.82,10.83,11.46,10.79,8.8,12.55,11.18,8.73,10.36
232,Eritrea,ERI,-3.14,8.76,3.01,-2.66,1.45,2.57,-0.97,1.43,-9.78,3.88,2.19,8.68,7.02,1.33
233,Estonia,EST,9.7,6.28,6.56,7.77,6.34,8.85,10.1,7.49,-4.15,-14.1,2.56,9.56,3.94,0.83
242,Fiji,FJI,-1.7,2,3.2,1,5.3,0.7,1.85,-0.85,1.03,-1.27,0.11,1.87,2.2,2.74
246,Finland,FIN,5.32,2.28,1.83,2.01,4.12,2.92,4.41,5.34,0.29,-8.54,3.36,2.82,-1.01,-1.38
250,France,FRA,3.68,1.84,0.93,0.9,2.54,1.83,2.47,2.29,-0.08,-3.15,1.72,2.03,0.01,0.21
262,Djibouti,DJI,0.42,2.05,2.62,3.2,3.83,3.17,4.8,5.1,5.8,5,4.45,5.39,3,5
266,Gabon,GAB,-1.88,2.13,-0.27,2.48,1.35,3.02,1.18,5.55,1,-2.9,6.7,7.1,5.6,5.89
268,Georgia,GEO,1.84,4.81,5.47,11.06,5.86,9.6,9.38,12.34,2.31,-3.78,6.25,6.95,6.18,3.18
270,Gambia,GMB,5.5,5.8,-3.25,6.87,7.05,-0.94,1.12,3.63,5.73,6.45,6.53,-4.3,6.05,5.65
275,West Bank and Gaza,PSE,-9.89,-5.17,-2.46,10.26,9.01,8.84,-5.84,-2.91,-7.74,19.54,3.44,7.66,13.84,n/a
276,Germany,DEU,3.06,1.51,0.01,-0.38,1.16,0.68,3.7,3.27,1.08,-5.15,4.01,3.33,0.69,0.43
288,Ghana,GHA,3.7,4,4.5,5.2,5.6,5.9,6.4,6.46,8.43,3.99,8.01,15.01,8.79,7.13
296,Kiribati,KIR,9.51,0.7,0.58,4.03,3.17,-0.17,-4.51,7.52,2.75,-0.67,-0.5,2.74,2.81,2.97
300,Greece,GRC,4.48,4.2,3.44,5.94,4.37,2.28,5.51,3.54,-0.22,-3.14,-4.94,-7.11,-6.97,-3.86
304,Greenland,GRL,7.1,1.27,-0.97,-0.38,2.67,1.98,4.47,5.51,0.35,-5.41,n/a,n/a,n/a,n/a
308,Grenada,GRD,2.5,-2.09,3.65,9.64,-1.03,13.52,-3.86,5.2,0.95,-6.63,-0.48,0.75,-1.8,1.83
320,Guatemala,GTM,3.61,2.33,3.87,2.53,3.15,3.26,5.38,6.3,3.28,0.53,2.87,4.16,2.97,3.69
324,Guinea,GIN,2.5,3.66,5.16,1.25,2.34,3,2.5,1.76,4.94,-0.28,1.94,3.91,3.94,2.5
328,Guyana,GUY,-1.38,2.25,1.05,-1.01,3.29,-1.96,5.13,-3.64,1.98,3.32,4.37,5.44,4.82,5.33
332,Haiti,HTI,0.88,-1.04,-0.26,0.36,-3.51,1.79,2.25,3.34,0.84,3.08,-5.5,5.52,2.89,4.3
340,Honduras,HND,5.75,2.72,3.75,4.55,6.23,6.05,6.57,6.19,4.23,-2.43,3.73,3.84,3.86,2.56
348,Hungary,HUN,4.23,3.71,4.51,3.85,4.8,3.96,3.9,0.11,0.89,-6.8,1.26,1.6,-1.7,n/a
352,Iceland,ISL,4.32,3.92,0.14,2.43,7.84,7.23,4.71,5.99,1.19,-6.56,-4.1,2.66,1.46,3.26
356,India,IND,3.84,4.82,3.8,7.86,7.92,9.28,9.26,9.8,3.89,8.48,10.26,6.64,4.74,5.02
360,Indonesia,IDN,4.92,3.64,4.5,4.78,5.03,5.69,5.5,6.35,6.01,4.63,6.22,6.49,6.26,5.78
364,Iran,IRN,5.14,3.67,7.52,7.11,5.08,4.62,5.89,7.82,0.58,3.94,5.89,3,3,-5.8
368,Iraq,IRQ,n/a,2.31,-6.9,-33.1,54.16,4.4,10.16,1.38,6.61,5.81,6.9,9.68,9.16,3.95
372,Ireland,IRL,10.65,4.99,5.42,3.73,4.2,6.08,5.51,4.97,-2.16,-6.38,-1.06,2.17,0.16,-0.34
376,Israel,ISR,9.25,-0.22,-0.58,1.51,4.84,4.94,5.59,6.92,4.45,1.25,5.66,4.57,3.35,3.31
380,Italy,ITA,3.65,1.86,0.45,-0.05,1.73,0.93,2.2,1.68,-1.16,-5.49,1.72,0.45,-2.37,-1.85
384,Ivory Coast,CIV,-3.7,-0.02,-1.43,-1.56,1.79,1.26,0.68,1.71,2.21,3.65,2.36,-4.72,9.5,8.7
388,Jamaica,JAM,0.88,1.34,n/a,n/a,n/a,n/a,n/a,1.4,-0.71,-4.41,-1.48,1.7,0.72,1.27
392,Japan,JPN,2.26,0.36,0.29,1.69,2.36,1.3,1.69,2.19,-1.04,-5.53,4.65,-0.45,1.45,1.54
398,Kazakhstan,KAZ,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.5,5,6
400,Jordan,JOR,4.24,5.27,5.79,4.16,8.56,8.14,8.12,8.18,7.23,5.48,2.34,2.56,2.65,2.83
404,Kenya,KEN,0.6,3.78,0.55,2.93,5.1,5.91,6.33,6.99,1.53,2.74,5.8,4.42,4.55,4.69
408,North Korea,PRK,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
410,South Korea,KOR,8.83,4.53,7.43,2.93,4.9,3.92,5.18,5.46,2.83,0.71,6.5,3.68,2.29,2.97
414,Kuwait,KWT,4.69,0.73,3,17.32,10.76,10.08,7.52,5.99,2.48,-7.08,-2.37,6.3,6.19,
417,Kyrgyzstan,KGZ,5.43,5.32,-0.02,7.03,7.03,-0.18,3.1,8.54,8.4,2.89,-0.47,5.96,-0.09,10.54
418,Laos,LAO,5.8,5.75,5.92,6.07,6.36,7.11,8.62,7.6,7.82,7.5,8.53,8.04,8.2,8.15
422,Lebanon,LBN,1.34,3.95,3.37,3.24,7.48,2.7,1.6,9.4,9.1,10.3,8,2,2.2,0.9
426,Lesotho,LSO,5.14,4.23,0.53,4.69,2.29,2.7,4.31,4.73,5.73,3.36,7.09,2.84,6.51,5.9
428,Latvia,LVA,6.91,8.04,6.47,7.2,8.68,10.6,12.23,9.98,-4.24,-17.95,-0.34,5.3,5,n/a
430,Liberia,LBR,25.7,22.1,31.89,-32.83,-5.11,9.48,9.78,15.69,10.53,13.76,10.94,9.13,10.24,11.31
434,Libya,LBY,3.7,-4.3,-1.3,13,4.4,9.9,5.9,6,3.8,2.1,5,-62.08,104.48,-9.37
438,Liechtenstein,LIE,3.22,-0.73,-0.99,-1.94,3.04,4.83,8.64,3.33,1.8,-1.16,n/a,n/a,n/a,n/a
440,Lithuania,LTU,3.25,6.74,6.86,10.25,7.35,7.8,7.84,9.84,2.93,-14.74,1.33,6,3.7,n/a
442,Luxembourg,LUX,8.44,2.52,4.09,1.67,4.37,5.25,4.94,6.59,-0.73,-5.56,3.1,1.9,-0.18,2.14
450,Madagascar,MDG,4.76,6.02,-12.67,9.78,5.26,4.6,5.02,6.24,7.13,-4.01,-0.37,1.03,2.36,2.1
454,Malawi,MWI,1.58,-4.97,1.7,5.5,4.85,2.84,2.06,9.49,8.34,9.04,-9.53,4.35,1.89,4.97
458,Malaysia,MYS,8.86,0.52,5.39,5.79,6.78,5.33,5.59,6.3,4.83,-1.51,7.43,5.13,5.64,4.69
462,Maldives,MDV,n/a,n/a,6.1,14.15,12.48,-8.68,19.59,10.56,12.2,-3.64,7.06,6.48,1.33,3.71
466,Mali,MLI,3.2,12.1,4.15,7.44,2.19,6.08,8.58,4.3,4.98,4.46,5.82,2.73,-0.41,2.15
470,Malta,MLT,6.77,-1.55,2.81,0.13,-0.5,3.67,2.22,4.28,4.36,-2.65,2.71,1.8,1,
478,Mauritania,MRT,-0.43,2.01,0.66,5.98,5.75,8.97,18.87,1.61,3.52,-1.22,4.3,4,7,6.7
480,Mauritius,MUS,9.03,2.57,2.11,3.66,5.75,1.24,3.95,5.89,5.51,3.01,4.11,3.85,3.23,3.2
484,Mexico,MEX,5.3,-0.61,0.13,1.42,4.3,3.03,5,3.15,1.4,-4.7,5.11,4.04,3.98,1.07
492,Monaco,MCO,3.91,2.19,1.03,1.09,2.47,1.9,5.05,14.58,10,n/a,n/a,n/a,n/a,n/a
496,Mongolia,MNG,1.15,2.95,4.73,7,10.63,7.25,8.56,10.25,8.9,-1.27,6.37,17.51,12.4,11.74
498,Moldova,MDA,2.1,6.1,7.8,6.6,7.41,7.5,4.78,3.07,7.76,-5.99,7.09,6.8,-0.7,8.9
